Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form
Damsgaard,4,Midfielder,5.0,1.4,2.21,4.39,92,4.0
Dasilva,4,Midfielder,4.8,0.0,0.0,0.0,0,0.0
Flekken,4,Goalkeeper,4.4,8.9,0.0,0.07,80,4.3
Henry,4,Defender,4.3,0.0,0.0,0.0,1,0.0
Hickey,4,Defender,4.3,0.0,0.0,0.0,0,0.0
Janelt,4,Midfielder,4.9,0.2,0.65,2.12,61,1.3
Jensen,4,Midfielder,5.3,0.1,0.23,1.15,27,1.0
Ji-soo,4,Defender,3.9,0.4,0.0,0.0,2,0.0
Konak,4,Midfielder,4.4,0.1,0.15,0.0,5,0.0
Lewis-Potter,4,Midfielder,5.0,0.1,2.31,3.41,66,2.0
Mbeumo,4,Midfielder,7.9,35.8,8.56,5.73,152,4.0
Mee,4,Defender,4.2,0.3,0.0,0.02,8,0.3
Nørgaard,4,Midfielder,4.8,0.2,2.4,0.6,55,2.0
Onyeka,4,Midfielder,4.9,0.0,0.0,0.02,2,0.0
Peart-Harris,4,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Pinnock,4,Defender,4.4,0.3,0.87,0.63,34,0.3
Roerslev,4,Defender,4.3,0.1,0.2,2.09,36,0.7
Schade,4,Midfielder,5.1,1.0,5.2,0.97,94,7.3
Thiago,4,Forward,5.9,0.0,0.1,0.02,5,0.0
Toney,4,Forward,7.3,1.1,0.0,0.0,0,0.0
Valdimarsson,4,Goalkeeper,3.9,4.3,0.0,0.0,2,0.3
Wissa,4,Forward,6.3,12.0,11.46,1.25,105,2.0
Yarmoliuk,4,Midfielder,4.4,2.6,0.54,0.35,23,0.7
Zanka,4,Defender,4.5,0.0,0.0,0.0,0,0.0
Carvalho,4,Midfielder,4.5,0.5,2.4,0.52,29,0.7
Van den Berg,4,Defender,4.1,2.6,0.8,0.44,37,1.3
Trevitt,4,Midfielder,4.4,0.1,0.0,0.0,1,0.0
G.Nunes,4,Midfielder,4.9,0.0,0.0,0.0,0,0.0
Meghoma,4,Defender,4.0,0.0,0.0,0.0,1,0.0
Yogane,4,Midfielder,4.5,0.0,0.0,0.0,0,0.0
Maghoma,4,Midfielder,4.5,0.0,0.0,0.03,5,0.0
Arthur,4,Defender,4.0,0.0,0.0,0.0,0,0.0
Frank,4,Unknown,0.8,1.8,0.0,0.0,17,5.7
