Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Total Points,Form,Fixture Difficulty (Next 3)
Hinshelwood,Brighton,Midfielder,4.9,0.0,0.79,0.75,32,1.3,3.33
I.Osman,Brighton,Midfielder,5.0,0.0,0.0,0.0,0,0.0,3.33
Igor,Brighton,Defender,4.3,0.1,0.05,0.23,17,0.0,3.33
João Pedro,Brighton,Forward,5.5,11.2,4.36,2.18,81,1.0,3.33
Kozlowski,Brighton,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
Lamptey,Brighton,Defender,4.4,0.4,0.38,0.37,32,2.3,3.33
March,Brighton,Midfielder,6.5,0.0,0.07,0.02,1,0.0,3.33
Mazilu,Brighton,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
Milner,Brighton,Midfielder,5.0,0.0,0.16,0.15,5,0.0,3.33
Minteh,Brighton,Midfielder,5.0,0.8,2.79,3.02,64,5.7,3.33
Mitoma,Brighton,Midfielder,6.3,6.8,5.31,3.43,105,4.3,3.33
Moder,Brighton,Midfielder,4.4,0.5,0.0,0.53,4,0.0,3.33
O’Mahony,Brighton,Forward,4.5,0.2,0.0,0.0,0,0.0,3.33
Offiah,Brighton,Defender,4.0,0.1,0.0,0.0,0,0.0,3.33
Peupion,Brighton,Midfielder,4.4,0.1,0.0,0.0,0,0.0,3.33
Sarmiento,Brighton,Midfielder,4.9,0.0,0.0,0.0,1,0.0,3.33
Steele,Brighton,Goalkeeper,4.1,0.8,0.0,0.0,9,0.0,3.33
Undav,Brighton,Forward,5.5,0.0,0.0,0.0,0,0.0,3.33
Van Hecke,Brighton,Defender,4.5,0.9,0.75,1.06,59,2.3,3.33
Veltman,Brighton,Defender,4.4,1.7,0.47,1.29,58,2.3,3.33
Verbruggen,Brighton,Goalkeeper,4.5,2.7,0.0,0.01,71,3.3,3.33
Webster,Brighton,Defender,4.3,0.1,0.02,0.07,15,2.3,3.33
Welbeck,Brighton,Forward,5.5,6.0,6.08,0.93,83,3.7,3.33
Wieffer,Brighton,Midfielder,4.7,0.1,0.5,0.18,28,0.0,3.33
Gruda,Brighton,Midfielder,5.4,0.0,0.27,0.5,14,0.3,3.33
Ayari,Brighton,Midfielder,5.0,0.0,1.49,1.86,37,1.0,3.33
Moran,Brighton,Midfielder,5.0,0.0,0.0,0.0,0,0.0,3.33
Rushworth,Brighton,Goalkeeper,3.9,0.0,0.0,0.0,0,0.0,3.33
Georginio,Brighton,Midfielder,5.1,0.5,3.49,1.34,75,2.0,3.33
F.Kadıoğlu,Brighton,Defender,4.4,0.1,0.44,0.31,19,0.0,3.33
O'Riley,Brighton,Midfielder,5.5,0.0,1.15,1.24,25,1.0,3.33
Samuels,Brighton,Defender,4.0,0.0,0.0,0.0,0,0.0,3.33
Cahill,Brighton,Goalkeeper,3.9,1.2,0.0,0.0,0,0.0,3.33
McConville,Brighton,Defender,4.0,0.0,0.0,0.0,0,0.0,3.33
Slater,Brighton,Defender,4.0,0.0,0.0,0.0,0,0.0,3.33
Gómez,Brighton,Midfielder,5.5,0.0,0.0,0.02,3,0.7,3.33
Hürzeler,Brighton,Unknown,1.1,1.8,0.0,0.0,21,7.0,3.33
Knight,Brighton,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.33
Cashin,Brighton,Defender,4.5,0.0,0.0,0.0,0,0.0,3.33
Andrey Santos,Chelsea,Midfielder,4.5,0.0,0.0,0.0,0,0.0,3.0
Ângelo,Chelsea,Midfielder,4.5,0.1,0.0,0.0,0,0.0,3.0
B.Badiashile,Chelsea,Defender,4.2,0.1,0.0,0.06,5,0.0,3.0
Bergström,Chelsea,Goalkeeper,3.9,0.3,0.0,0.0,0,0.0,3.0
Bettinelli,Chelsea,Goalkeeper,3.9,0.4,0.0,0.0,0,0.0,3.0
Caicedo,Chelsea,Midfielder,4.9,1.1,0.55,1.72,64,1.3,3.0
Casadei,Chelsea,Midfielder,4.4,0.1,0.0,0.0,0,0.0,3.0
Chalobah,Chelsea,Defender,4.4,1.2,1.42,0.56,65,1.0,3.0
Chukwuemeka,Chelsea,Midfielder,4.7,0.0,0.0,0.0,0,0.0,3.0
Colwill,Chelsea,Defender,4.4,3.0,0.54,1.1,50,1.0,3.0
Cucurella,Chelsea,Defender,5.1,6.0,1.55,1.8,60,1.3,3.0
D.D.Fofana,Chelsea,Forward,5.4,0.1,0.0,0.0,0,0.0,3.0
Deivid,Chelsea,Forward,4.9,0.1,0.0,0.0,0,0.0,3.0
Dewsbury-Hall,Chelsea,Midfielder,5.5,0.1,0.22,0.19,12,0.3,3.0
Enzo,Chelsea,Midfielder,4.7,3.6,2.97,3.91,75,2.3,3.0
Gallagher,Chelsea,Midfielder,5.9,0.1,0.0,0.0,0,0.0,3.0
Gilchrist,Chelsea,Defender,4.0,0.0,0.0,0.0,0,0.0,3.0
Gusto,Chelsea,Defender,4.9,1.5,1.29,1.33,33,1.0,3.0
James,Chelsea,Defender,4.8,0.8,0.16,0.55,21,1.0,3.0
Kellyman,Chelsea,Midfielder,4.3,0.1,0.0,0.0,0,0.0,3.0
Lavia,Chelsea,Midfielder,4.5,0.4,0.18,0.3,15,0.0,3.0
