Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
405,David Raya,es ESP,GK,Arsenal,29-158,1995,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
406,Harrison Reed,eng ENG,MF,Fulham,30-024,1995,9,0,69,0.8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,4,7,0.00,0.00,0.00,0.00,0.00,0.19,0.10,0.29,0.19,0.29,Matches
407,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18-351,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
408,Sergio Reguilón,es ESP,DF,Tottenham,28-066,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
409,Bobby Reid,jm JAM,"FW,MF",Leicester City,32-018,1993,17,5,526,5.8,1,2,3,1,0,0,1,0,0.8,0.8,1.2,2.0,8,13,29,0.17,0.34,0.51,0.17,0.51,0.13,0.21,0.33,0.13,0.33,Matches
410,Chadi Riad,ma MAR,DF,Crystal Palace,21-248,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
411,Declan Rice,eng ENG,MF,Arsenal,26-037,1999,23,21,1831,20.3,1,5,6,1,0,0,5,1,1.6,1.6,5.3,6.9,65,135,60,0.05,0.25,0.29,0.05,0.29,0.08,0.26,0.34,0.08,0.34,Matches
412,Chris Richards,us USA,DF,Crystal Palace,24-329,2000,14,12,1068,11.9,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,3,26,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
413,Richarlison,br BRA,FW,Tottenham,27-286,1997,9,2,279,3.1,2,1,3,2,0,0,1,0,1.2,1.2,0.9,2.1,8,10,17,0.65,0.32,0.97,0.65,0.97,0.38,0.29,0.67,0.38,0.67,Matches
414,Andrew Robertson,sct SCO,DF,Liverpool,30-346,1994,25,23,1898,21.1,0,0,0,0,0,0,3,1,0.6,0.6,4.0,4.6,49,137,80,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.22,0.03,0.22,Matches
415,Antonee Robinson,us USA,DF,Fulham,27-196,1997,25,25,2250,25.0,0,10,10,0,0,0,5,0,0.7,0.7,3.4,4.1,88,93,201,0.00,0.40,0.40,0.00,0.40,0.03,0.14,0.16,0.03,0.16,Matches
