Name,Team,Position,Price,Ownership %,Expected Goals,Expected Assists,Expected Goal Involvement (xGI),Total Points,Form,Points per Million (PPM),Minutes per Game,Fixture Difficulty (Next 3),Differential Score
Eriksen,Man Utd,Midfielder,5.2,0.2,0.12,1.56,1.6800000000000002,24,0.3,4.62,7.9,3.67,2.6
Evans,Man Utd,Defender,4.4,0.1,0.08,0.02,0.1,14,0.0,3.18,1.0,3.67,0.14
Garnacho,Man Utd,Midfielder,5.9,4.7,5.57,1.34,6.91,63,2.3,10.68,51.22,3.67,2.63
Hannibal,Man Utd,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Heaton,Man Utd,Goalkeeper,3.9,0.3,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Højlund,Man Utd,Forward,6.9,1.0,2.35,0.79,3.14,46,1.3,6.67,33.8,3.67,3.66
Lindelof,Man Utd,Defender,4.3,0.1,0.0,0.04,0.04,4,0.0,0.93,1.0,3.67,0.05
Maguire,Man Utd,Defender,4.9,0.6,0.61,0.21,0.82,26,3.3,5.31,149.01,3.67,4.89
Mainoo,Man Utd,Midfielder,5.2,1.9,0.6,1.22,1.8199999999999998,32,1.0,6.15,40.06,3.67,1.63
Malacia,Man Utd,Defender,4.4,0.0,0.0,0.02,0.02,2,0.3,0.45,14.85,3.67,0.63
Martinez,Man Utd,Defender,4.4,2.9,1.33,1.21,2.54,68,5.7,15.45,146.78,3.67,3.9
McTominay,Man Utd,Midfielder,4.9,0.1,0.07,0.0,0.07,2,0.0,0.41,1.0,3.67,0.1
Mount,Man Utd,Midfielder,6.3,0.1,0.4,0.08,0.48000000000000004,8,0.0,1.27,1.0,3.67,0.65
Onana,Man Utd,Goalkeeper,5.0,6.0,0.0,0.19,0.19,87,3.7,17.4,95.69,3.67,1.1
Pellistri,Man Utd,Midfielder,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Shaw,Man Utd,Defender,4.9,0.2,0.0,0.01,0.01,2,0.0,0.41,1.0,3.67,0.01
Zirkzee,Man Utd,Forward,6.5,1.5,3.46,0.99,4.45,54,1.3,8.31,23.09,3.67,3.71
Yoro,Man Utd,Defender,4.3,0.2,0.7,0.03,0.73,10,0.7,2.33,37.8,3.67,2.08
De Ligt,Man Utd,Defender,4.9,3.2,1.93,0.24,2.17,50,1.3,10.2,42.51,3.67,1.39
Mazraoui,Man Utd,Defender,4.3,9.0,0.46,1.37,1.83,63,3.3,14.65,100.68,3.67,0.93
Collyer,Man Utd,Midfielder,4.5,0.1,0.0,0.02,0.02,4,0.3,0.89,9.07,3.67,0.57
Wheatley,Man Utd,Forward,4.5,1.3,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Ugarte,Man Utd,Midfielder,4.9,0.1,0.36,0.46,0.8200000000000001,21,1.0,4.29,51.1,3.67,2.94
Heaven,Man Utd,Defender,4.0,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Fletcher,Man Utd,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Amass,Man Utd,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Fitzgerald,Man Utd,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Kukonki,Man Utd,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Harrison,Man Utd,Goalkeeper,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Dorgu,Man Utd,Defender,4.5,0.1,0.03,0.06,0.09,1,1.0,0.22,90.0,3.67,1.94
Obi,Man Utd,Forward,4.5,0.0,0.0,0.0,0.0,1,1.0,0.22,1.0,3.67,2.0
Fredricson,Man Utd,Defender,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Moorhouse,Man Utd,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
Koné,Man Utd,Midfielder,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.67,0.0
A.Murphy,Newcastle,Defender,4.0,0.6,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Almirón,Newcastle,Midfielder,5.4,0.3,0.52,0.19,0.71,10,0.3,1.85,4.5,2.67,1.28
Barnes,Newcastle,Midfielder,5.9,1.0,2.41,2.62,5.03,65,0.0,11.02,1.0,2.67,3.77
Botman,Newcastle,Defender,4.4,0.1,0.03,0.02,0.05,7,0.0,1.59,1.0,2.67,0.07
Bruno G.,Newcastle,Midfielder,6.1,2.1,2.28,4.09,6.369999999999999,88,1.7,14.43,41.73,2.67,4.18
Burn,Newcastle,Defender,4.4,6.8,1.1,0.69,1.79,66,0.7,15.0,22.91,2.67,0.52
Dúbravka,Newcastle,Goalkeeper,4.3,3.1,0.0,0.0,0.0,44,1.7,10.23,34.77,2.67,0.83
Gordon,Newcastle,Midfielder,7.5,15.6,7.52,4.35,11.87,109,2.7,14.53,47.73,2.67,1.4
Hall,Newcastle,Defender,5.0,23.1,0.43,3.49,3.9200000000000004,92,1.0,18.4,21.83,2.67,0.33
Hayden,Newcastle,Midfielder,4.4,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Isak,Newcastle,Forward,9.5,57.9,14.12,3.11,17.23,154,5.7,16.21,69.92,2.67,0.63
J.Murphy,Newcastle,Midfielder,5.1,4.2,2.59,3.59,6.18,90,5.3,17.65,84.03,2.67,3.82
Joelinton,Newcastle,Midfielder,6.0,1.2,3.43,1.67,5.1,76,1.0,12.67,25.2,2.67,4.39
Kelly,Newcastle,Defender,4.2,0.1,0.41,0.11,0.52,12,0.3,2.86,7.47,2.67,1.25
Krafth,Newcastle,Defender,4.3,0.1,0.04,0.03,0.07,11,0.3,2.56,6.57,2.67,0.64
Kuol,Newcastle,Midfielder,4.4,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Lascelles,Newcastle,Defender,4.5,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Lewis,Newcastle,Defender,4.0,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Livramento,Newcastle,Defender,4.5,1.7,0.13,0.57,0.7,57,1.7,12.67,50.31,2.67,1.65
Longstaff,Newcastle,Midfielder,4.5,0.4,0.6,0.22,0.82,28,0.7,6.22,18.25,2.67,1.88
Miley,Newcastle,Midfielder,5.0,0.0,0.41,0.03,0.43999999999999995,6,1.0,1.2,12.83,2.67,2.66
Odysseas,Newcastle,Goalkeeper,4.3,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Pope,Newcastle,Goalkeeper,4.9,3.1,0.0,0.0,0.0,48,0.0,9.8,1.0,2.67,0.0
Ruddy,Newcastle,Goalkeeper,3.9,0.3,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Schär,Newcastle,Defender,5.4,1.5,1.7,0.77,2.4699999999999998,58,1.0,10.74,30.72,2.67,2.28
Targett,Newcastle,Defender,4.0,0.3,0.0,0.0,0.0,1,0.0,0.25,1.0,2.67,0.0
Tonali,Newcastle,Midfielder,5.5,0.5,3.15,1.14,4.29,50,4.0,9.09,123.76,2.67,9.62
Trippier,Newcastle,Defender,5.6,3.3,0.03,0.54,0.5700000000000001,25,0.3,4.46,6.92,2.67,0.34
White,Newcastle,Midfielder,4.5,0.1,0.0,0.0,0.0,0,0.0,0.0,1.0,2.67,0.0
Willock,Newcastle,Midfielder,4.7,0.1,0.87,0.68,1.55,30,1.0,6.38,21.8,2.67,3.93
Wilson,Newcastle,Forward,6.9,0.1,0.0,0.0,0.0,4,0.3,0.58,5.55,2.67,0.55
